COD_BENEF_BI,FECHAINI,HORAINI,DURACION,CSE_RSH,EDAD_GRUPO,SEXO,DIRECCION_ZONAL,P00,P0,P1,P2,P3,P4,P5,P6,P7,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,FE
84356907,08-12-2021,11:43:14,591,>80-NA,60+,MUJER,NC,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me cambiaría a Isapre,Sí,No,,No,Muy urgente,Urgente,No lo necesito,Muy urgente,Poco urgente,Poco urgente,Muy urgente,No me atendería,No,,,,,,Sí,No,,Pensionado,No,,No,,Las Cabras,Sí,Sí,6916.375
84611462,17-12-2021,15:24:11,343,41-80,60+,HOMBRE,N,Sí,Sí,Fonasa,Es más económico Fonasa,Me cambiaría a Isapre,No,No,No necesito,No,Urgente,Muy urgente,,Muy urgente,Muy urgente,No lo necesito,Urgente,No me atendería,Sí,Automedicación,"No, ninguno",Prefirió comprarlos por ser más rápido,Sí,30000,No,Sí,No,Pensionado,No,,Sí,10000,Copiapó,Sí,Sí,6132.25
999,04-12-2021,12:54:12,508,41-80,60+,MUJER,CS,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Nada urgente,No lo necesito,Urgente,Nada urgente,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,,No,Sí,No,Pensionado,No,,No,,Los Ángeles,No,No,6218
81595314,11-12-2021,11:50:49,532,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Muy urgente,No lo necesito,,Urgente,No lo necesito,No lo necesito,Prefiero telemedicina,Sí,Consultorio,"Sí, todos",,Sí,15000,No,Sí,No,Trabaja remuneradamente,No,,No,,Pudahuel,Sí,Sí,6813.6841
72732931,06-12-2021,17:30:50,490,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,Sí,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Urgente,No lo necesito,No lo necesito,No me atendería,Sí,Centro privado,"No, ninguno",Otra razón,No,,No,No,,Otra situación,No,,Sí,5000,La Serena,Sí,Sí,6813.6841
85329775,08-12-2021,13:30:29,517,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,Sí,,Sí,Urgente,Urgente,No lo necesito,Muy urgente,Poco urgente,Urgente,Urgente,Sólo en restricciones,Sí,Consultorio,"Sí, algunos",,Sí,25000,No,Sí,No,Pensionado,No,,No,,Rancagua,Sí,Sí,6565.9058
71889550,04-12-2021,14:52:22,310,41-80,60+,HOMBRE,CS,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,No lo necesito,No lo necesito,No me atendería,Sí,Hospital público,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,Chillán,Sí,Sí,6290.7002
67100734,08-12-2021,16:41:09,472,>80-NA,60+,MUJER,CN,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,Sí,No,,Sí,Poco urgente,Muy urgente,No lo necesito,Muy urgente,No lo necesito,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Hospital público,"Sí, todos",,Sí,40000,No,Sí,No,Pensionado,No,,Sí,5000,Alto Biobío,Sí,No,6009.3335
68295961,04-12-2021,15:22:38,347,0-40,60+,MUJER,CN,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Poco urgente,Urgente,No lo necesito,Poco urgente,Urgente,No lo necesito,No lo necesito,No me atendería,Sí,Hospital público,"Sí, todos",,No,,No,No,,Quehaceres del hogar,No,,No,,La Serena,Sí,Sí,6851.6313
76850283,11-12-2021,13:10:05,393,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,Sí,No,,Sí,Poco urgente,Nada urgente,No lo necesito,No lo necesito,Poco urgente,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Centro privado,"No, ninguno",No están disponibles,Sí,30000,No,Sí,No,Pensionado,No,,No,,Providencia,Sí,Sí,6813.6841
67791445,09-12-2021,15:52:37,295,0-40,60+,HOMBRE,CS,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,San Pedro de La Paz,Sí,Sí,6696.6362
67285120,11-12-2021,15:12:41,348,>80-NA,60+,MUJER,CS,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,No,No,"Prefiero no, por Covid",Sí,Nada urgente,Urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,35000,Sí,Sí,No,Pensionado,No,,No,,Concepción,Sí,Sí,5040.3335
71170029,03-12-2021,17:33:42,559,0-40,60+,HOMBRE,CN,Sí,Sí,Fonasa,Condición que no cubre Isapre,Me quedaría en Fonasa,Sí,Sí,,Sí,Urgente,Urgente,No lo necesito,No lo necesito,Muy urgente,No lo necesito,Muy urgente,Igual que presencial,Sí,Hospital público,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,Illapel,Sí,Sí,6495.625
79752101,13-12-2021,17:06:17,341,0-40,60+,MUJER,CS,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,No,,Sí,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Muy urgente,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,San Pedro,Sí,Sí,6680.04
67115365,08-12-2021,18:22:53,564,0-40,60+,MUJER,S,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Urgente,Muy urgente,Nada urgente,No lo necesito,No lo necesito,Poco urgente,No me atendería,Sí,Centro privado,"No, ninguno",Prefirió comprarlos por ser más rápido,Sí,3800,Sí,Sí,Sí,Pensionado,No,,No,,Frutillar,Sí,Sí,6573.25
73818934,07-12-2021,14:42:25,583,0-40,60+,HOMBRE,CN,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,No lo necesito,Urgente,No lo necesito,No lo necesito,Nada urgente,No me atendería,Sí,Consultorio,"Sí, algunos",,No,,No,No,,Pensionado,No,,No,,Quillota,Sí,Sí,6495.625
75272042,08-12-2021,13:52:02,495,>80-NA,35-59,MUJER,S,Sí,Sí,Fonasa,Por edad no conviene Isapre,,Sí,No,,No,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Igual que presencial,Sí,Hospital público,"Sí, todos",,No,,No,No,,Trabaja remuneradamente,No,,No,,Chillán,Sí,Sí,6245
999,03-12-2021,18:16:10,628,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Muy urgente,Muy urgente,Muy urgente,Urgente,Muy urgente,Muy urgente,No me atendería,Sí,Hospital público,"Sí, algunos",,Sí,60000,Sí,Sí,No,Pensionado,No,,No,,San Vicente,No,No,6565.9058
74529480,08-12-2021,16:32:55,451,41-80,60+,MUJER,S,Sí,Sí,Ninguno,,,Sí,No,,Sí,Urgente,,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,2500,No,Sí,No,Pensionado,No,,No,,Puerto Montt,Sí,Sí,5803.6665
77894550,08-12-2021,10:42:58,379,0-40,60+,MUJER,CN,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,No,,No,Poco urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Médico particular,"No, ninguno",Prefirió comprarlos por ser más rápido,Sí,5000,No,No,,Pensionado,No,,No,,Quilpué,Sí,Sí,6851.6313
82081263,17-12-2021,16:40:11,318,41-80,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,Sí,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,No lo necesito,Nada urgente,No me atendería,Sí,Hospital público,"Sí, algunos",,No,,No,No,,Trabaja remuneradamente,No,,No,,Cerrillos,Sí,Sí,6599.2856
78427630,07-12-2021,14:51:27,341,41-80,60+,MUJER,N,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,No lo necesito,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,Sí,20000,No,Sí,No,Pensionado,No,,No,,Copiapó,Sí,Sí,6512.6665
999,04-12-2021,14:54:22,397,0-40,60+,MUJER,CN,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Urgente,Muy urgente,Urgente,,,,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Ovalle,No,Sí,6851.6313
67378399,13-12-2021,13:34:37,217,41-80,60+,MUJER,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,No lo necesito,No lo necesito,No lo necesito,Poco urgente,Nada urgente,No lo necesito,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Puente Alto,Sí,Sí,6676.1055
83154899,11-12-2021,13:58:46,259,>80-NA,60+,MUJER,S,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,No lo necesito,Muy urgente,Muy urgente,No lo necesito,Muy urgente,No me atendería,Sí,Automedicación,"No, ninguno",Otra razón,Sí,80000,Sí,No,,Pensionado,No,,No,,Temuco,Sí,Sí,6807.5
71806817,14-12-2021,15:02:51,309,>80-NA,60+,MUJER,CN,Sí,Sí,Fonasa,Condición que no cubre Isapre,Me quedaría en Fonasa,Sí,No,,No,No lo necesito,Muy urgente,No lo necesito,No lo necesito,Muy urgente,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Médico particular,"No, ninguno",No se atiende en consultorio,Sí,30000,No,Sí,Sí,Pensionado,No,,No,,Viña del Mar,Sí,Sí,6009.3335
75728284,06-12-2021,16:32:10,382,0-40,60+,HOMBRE,S,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Urgente,Urgente,Urgente,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,No,,No,Sí,Sí,Pensionado,No,,No,,Valdivia,Sí,Sí,6797.7646
84717194,10-12-2021,16:06:08,462,41-80,60+,MUJER,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me cambiaría a Isapre,Sí,No,,No,Urgente,Urgente,No lo necesito,No lo necesito,,No lo necesito,Urgente,Sólo en restricciones,Sí,Automedicación,"No, ninguno",Otra razón,Sí,3000,No,No,,Pensionado,No,,No,,Santiago,Sí,Sí,6676.1055
80089901,08-12-2021,14:16:26,240,>80-NA,60+,HOMBRE,NC,Sí,Sí,Fonasa,Es más económico Fonasa,Me cambiaría a Isapre,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,No me atendería,Sí,Hospital público,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,Quilicura,Sí,Sí,6430
999,13-12-2021,17:55:21,428,0-40,60+,MUJER,S,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Nada urgente,No lo necesito,No lo necesito,No lo necesito,Nada urgente,No lo necesito,Nada urgente,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,Sí,150000,No,Sí,Sí,Trabaja remuneradamente,No,,No,,Vilcún,No,Sí,6573.25
70512253,14-12-2021,14:01:54,362,0-40,60+,MUJER,S,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,No,No,No he conseguido hora,Sí,Poco urgente,Urgente,No lo necesito,Urgente,Muy urgente,Poco urgente,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Quehaceres del hogar,No,,No,,Temuco,Sí,No,6573.25
68673730,14-12-2021,16:05:54,300,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Otra razón,Me quedaría en Fonasa,No,No,No necesito,No,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,7000,No,Sí,No,Cuidado de personas,No,,No,,Melipilla,Sí,Sí,6813.6841
71080941,17-12-2021,15:21:45,341,0-40,60+,HOMBRE,S,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me quedaría en Fonasa,No,No,No he conseguido hora,No,Muy urgente,Muy urgente,No lo necesito,Muy urgente,Muy urgente,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Puerto Montt,Sí,Sí,6797.7646
73013081,14-12-2021,13:32:07,273,0-40,60+,MUJER,CS,Sí,Sí,Ninguno,,,Sí,No,,Sí,Muy urgente,Poco urgente,No lo necesito,No lo necesito,Nada urgente,Poco urgente,No lo necesito,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Valparaíso,Sí,Sí,6680.04
69735261,13-12-2021,14:31:37,348,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,No lo necesito,Muy urgente,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,46000,No,Sí,Sí,Pensionado,No,,No,,Puente Alto,Sí,Sí,6565.9058
71869509,13-12-2021,16:46:39,317,0-40,60+,HOMBRE,S,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Río Bueno,Sí,Sí,6797.7646
71536263,18-12-2021,11:28:17,296,>80-NA,60+,MUJER,S,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Nada urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Hospital público,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Valdivia,Sí,Sí,6807.5
67509706,07-12-2021,17:47:03,380,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Urgente,No lo necesito,Urgente,Urgente,Urgente,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,Cerro Navia,Sí,Sí,6565.9058
69749981,10-12-2021,16:47:20,292,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Otra razón,Me quedaría en Fonasa,No,No,No necesito,No,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Sólo en restricciones,No,,,,,,No,Sí,No,Quehaceres del hogar,No,,No,,Quilicura,Sí,Sí,6565.9058
77940179,07-12-2021,14:39:40,369,41-80,60+,MUJER,S,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,No,Poco urgente,Poco urgente,No lo necesito,Poco urgente,Poco urgente,Nada urgente,Nada urgente,Igual que presencial,Sí,Médico particular,"No, ninguno",Prefirió comprarlos por ser más rápido,Sí,35000,No,Sí,Sí,Trabaja remuneradamente,No,,No,,Angol,Sí,Sí,5803.6665
78308686,13-12-2021,14:49:12,422,0-40,60+,HOMBRE,CS,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,No,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Hospital público,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,San Javier,Sí,Sí,6696.6362
999,06-12-2021,18:35:31,373,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,No,No,No necesito,No,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,No,,,,,,No,Sí,Sí,Pensionado,No,,No,,Puente Alto,No,No,6813.6841
67297019,04-12-2021,15:46:23,571,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,No lo necesito,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Igual que presencial,Sí,Consultorio,"Sí, algunos",,Sí,4000,No,No,,Incapacitado para trabajar,No,,No,,El Bosque,Sí,Sí,6565.9058
71033656,13-12-2021,16:33:11,312,41-80,35-59,MUJER,NC,Sí,Sí,Fonasa,Condición que no cubre Isapre,Me quedaría en Fonasa,No,No,"Prefiero no, por Covid",No,Urgente,Urgente,No lo necesito,Poco urgente,Urgente,Poco urgente,No lo necesito,Sólo en restricciones,Sí,Médico particular,"No, ninguno",No se atiende en consultorio,Sí,12000,No,No,,Buscando trabajo,No,,No,,Puente Alto,Sí,Sí,6863.439
74839994,04-12-2021,17:22:05,488,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me quedaría en Fonasa,Sí,Sí,,Sí,Muy urgente,Muy urgente,No lo necesito,Muy urgente,Muy urgente,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Hospital público,"Sí, todos",,Sí,30000,Sí,No,,Cuidado de personas,No,,No,,Santiago,Sí,Sí,6565.9058
71429305,04-12-2021,16:42:25,396,41-80,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,Sí,,No,Urgente,Poco urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Centro privado,"No, ninguno",Prefirió comprarlos por ser más rápido,Sí,30000,No,Sí,Sí,Trabaja remuneradamente,No,,No,,Puente Alto,Sí,Sí,6599.2856
84065729,11-12-2021,14:05:37,282,0-40,60+,HOMBRE,S,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,No,No,No necesito,No,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Urgente,No lo necesito,No lo necesito,Sólo en restricciones,No,,,,,,No,No,,Trabaja remuneradamente,No,,Sí,6000,Las Cabras,Sí,Sí,6797.7646
76174150,14-12-2021,12:00:35,355,41-80,60+,MUJER,S,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,No,No,No necesito,No,Poco urgente,Poco urgente,Poco urgente,Poco urgente,Muy urgente,Poco urgente,Nada urgente,Sólo en restricciones,No,,,,,,No,No,,Pensionado,No,,No,,Puerto Montt,Sí,Sí,5803.6665
73657329,08-12-2021,16:00:57,267,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Poco urgente,Poco urgente,No lo necesito,No lo necesito,Muy urgente,No lo necesito,No lo necesito,Prefiero telemedicina,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Trabaja remuneradamente,No,,No,,La Granja,Sí,Sí,6813.6841
67085360,17-12-2021,11:24:27,356,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,No,Poco urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Sólo en restricciones,No,,,,,,No,No,,Trabaja remuneradamente,No,,No,,Estación Central,Sí,Sí,6813.6841
71701847,08-12-2021,13:36:42,184,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Urgente,Muy urgente,Muy urgente,Igual que presencial,Sí,Consultorio,"Sí, todos",,No,,No,No,,Trabaja remuneradamente,No,,No,,Los Andes,Sí,Sí,6813.6841
69267468,16-12-2021,14:39:00,315,0-40,35-59,MUJER,NC,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,Sí,,Sí,Urgente,Urgente,No lo necesito,No lo necesito,Poco urgente,No lo necesito,Nada urgente,Sólo en restricciones,Sí,Hospital público,"Sí, todos",,Sí,33000,No,No,,Quehaceres del hogar,No,,No,,El Bosque,Sí,Sí,6834.2002
72113488,07-12-2021,14:11:29,619,0-40,60+,MUJER,S,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,No lo necesito,No lo necesito,No lo necesito,Muy urgente,No lo necesito,Prefiero telemedicina,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Los Ángeles,Sí,Sí,6573.25
69780751,09-12-2021,17:12:14,594,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,,No lo necesito,Muy urgente,Muy urgente,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Graneros,Sí,Sí,6565.9058
85134450,14-12-2021,15:15:22,296,41-80,60+,MUJER,CN,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Muy urgente,Muy urgente,Urgente,Poco urgente,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Canela,Sí,Sí,6622.8569
82717091,11-12-2021,14:11:28,210,41-80,60+,MUJER,CN,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,Sí,,No,Poco urgente,Muy urgente,Muy urgente,Poco urgente,No lo necesito,No lo necesito,No lo necesito,Prefiero telemedicina,No,,,,,,No,Sí,Sí,Pensionado,No,,No,,La Serena,Sí,Sí,6622.8569
73227390,08-12-2021,14:04:23,320,41-80,60+,MUJER,N,Sí,Sí,Ninguno,,,Sí,No,,Sí,Muy urgente,Muy urgente,No lo necesito,No lo necesito,Muy urgente,Muy urgente,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Otra situación,No,,No,,Arica,Sí,Sí,6512.6665
74155265,13-12-2021,14:47:11,270,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me cambiaría a Isapre,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Sólo en restricciones,Sí,Hospital público,"Sí, algunos",,Sí,40000,No,No,,Pensionado,No,,No,,Providencia,Sí,Sí,6565.9058
67288006,04-12-2021,11:54:13,663,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,Sí,,Sí,Muy urgente,Poco urgente,Muy urgente,Muy urgente,Poco urgente,Urgente,Urgente,No me atendería,No,,,,,,Sí,No,,Pensionado,No,,Sí,3000,Puente Alto,Sí,Sí,6565.9058
999,07-12-2021,19:02:28,430,41-80,60+,HOMBRE,CS,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,Sí,,Sí,Urgente,No lo necesito,No lo necesito,No lo necesito,Muy urgente,Poco urgente,Poco urgente,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,No,,Trabaja remuneradamente,No,,No,,Concepción,No,No,6290.7002
67573328,14-12-2021,14:24:50,298,0-40,60+,HOMBRE,CN,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,No lo necesito,Poco urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Hospital público,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,Quillota,Sí,Sí,6495.625
68267581,08-12-2021,16:27:00,336,0-40,60+,MUJER,CS,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,No,No,No he conseguido hora,Sí,Muy urgente,Muy urgente,No lo necesito,Muy urgente,Muy urgente,No lo necesito,No lo necesito,No me atendería,Sí,Hospital público,"Sí, todos",,Sí,22000,No,Sí,No,Cuidado de personas,No,,No,,Tucapel,Sí,Sí,6680.04
75494892,15-12-2021,13:03:45,270,0-40,60+,HOMBRE,S,Sí,Sí,Ninguno,,,Sí,No,,Sí,Muy urgente,Muy urgente,No lo necesito,No lo necesito,No lo necesito,Muy urgente,No lo necesito,Prefiero telemedicina,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Incapacitado para trabajar,No,,No,,Traiguén,Sí,Sí,6797.7646
67410776,08-12-2021,12:27:58,553,0-40,60+,MUJER,CS,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,35000,Sí,Sí,No,Incapacitado para trabajar,No,,No,,Curicó,Sí,Sí,6680.04
76187228,14-12-2021,13:49:13,356,0-40,60+,HOMBRE,CS,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,No,Poco urgente,No lo necesito,No lo necesito,Nada urgente,Poco urgente,No lo necesito,No lo necesito,Sólo en restricciones,No,,,,,,No,No,,Pensionado,No,,No,,Chillán,Sí,Sí,6696.6362
999,07-12-2021,10:17:25,362,0-40,60+,HOMBRE,CS,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,,Sí,No,,No,Poco urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,No,,,,,,No,Sí,No,Pensionado,No,,No,,Curicó,No,No,6696.6362
69145846,03-12-2021,17:18:50,562,>80-NA,60+,MUJER,CN,Sí,Sí,Fonasa,Condición que no cubre Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,No me atendería,Sí,Médico particular,"Sí, algunos",,Sí,100000,Sí,No,,Pensionado,No,,No,,Viña del Mar,Sí,Sí,6009.3335
74101404,04-12-2021,12:49:39,467,41-80,60+,MUJER,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Urgente,Urgente,Urgente,No lo necesito,No lo necesito,Urgente,No me atendería,Sí,Hospital público,"Sí, todos",,Sí,80000,No,Sí,No,Pensionado,No,,Sí,,Maipú,Sí,Sí,6676.1055
